Alcatel One Touch C651;.*Alcatel\-CTH3.*
Siemens AX72;.*SIE\-AX72.*
Siemens C60;.*SIE\-C60.*
Siemens C62;.*SIE\-C62.*
Siemens C66-NAFTA;.*SIE\-C66.*
Siemens C72;.*SIE\-C72.*
Siemens CF75;.*SIE\-CF75.*
Siemens M56;.*SIE\-M56.*
Siemens MC60;.*SIE\-MC60.*
Siemens S55;.*SIE\-S5.*
Siemens S56;.*SIE\-S56.*
Amoi Electronics Amoi-8505;.*Amoi\ 8512.*
Motorola V540;.*MOT\-V540.*
Nokia 6280;.*Nokia6280.*
Siemens S66-NAFTA;.*SIE\-S66.*
Siemens SL55;.*SIE\-SL55.*
Siemens SL65;.*SIE\-SL65.*
Siemens ST60;.*SIE\-ST60.*
Siemens SX1R01;.*SIE\-SX1.*
Sony Ericsson J200i;.*SonyEricssonJ200i.*
Sony Ericsson J210;.*SonyEricssonJ210i\/R101.*
Sony Ericsson J220;.*SonyEricssonJ220.*
Nokia E51-1;.*NokiaE51.*
Samsung SGH-A437;.*SAMSUNG\-SGH\-A437.*
LG LGE/CF360;.*LG\-CF360.*
Motorola EM325;.*MOT\-EM325.*
Motorola WX295;.*Mot\-WX295.*
MOTOROLA MOT-EX245;.*MOT\-EX245.*
LG LGE/CU515;.*LG\-CU515.*
Sony Ericsson K300a;.*SonyEricssonK300.*
Samsung C3053;.*SAMSUNG\-C3053.*
Samsung GT-B3310;.*SAMSUNG\-GT\-B3310.*
Alcatel OT-606A;.*Alcatel\-OT\-606.*
Sony Ericsson K506c;.*SonyEricssonK506c\/R2.*
Sony Ericsson K550i;.*SonyEricssonK550.*
Sony Ericsson K600i;.*SonyEricssonK600.*
Sony Ericsson K610i;.*SonyEricssonK610.*
Motorola motorazrV8;.*motorazrV8.*
LG KE850;.*LG\-KE850.*
Motorola MOT-W230;.*MOT\-W230.*
Sony Ericsson C702;.*SonyEricssonC702.*
Samsung SGH-U900L;.*SAMSUNG\-SGH\-U900.*
Nokia 3250;.*Nokia3250.*
Nokia N91;.*NokiaN91\-1.*
Samsung SGH-C166;.*SAMSUNG\-SGH\-C166.*
Samsung SGH-E250;.*SAMSUNG\-SGH\-E250.*
Sony Ericsson W380a;.*SonyEricssonW380a.*
Sony Ericsson Z555a;.*SonyEricssonZ555.*
Nokia 6136;.*Nokia6136.*
Nokia 6080;.*Nokia6080b.*
Nokia 6300;.*Nokia6300.*
Sony Ericsson T310;.*SonyEricssonT310.*
Sony Ericsson T312R201;.*SonyEricssonT312\/R201.*
Sony Ericsson T316;.*SonyEricssonT316.*
Sony Ericsson T610;.*SonyEricssonT610.*
Samsung SGH-A767;.*SAMSUNG\-SGH\-A767.*
Motorola MOT-W403;.*MOT-W403.*
LG LGE/MS25/v10a;.*LG\-MS25.*
Sony Ericsson T630;.*SonyEricssonT630.*
Sony Ericsson T637;.*SonyEricssonT637.*
Sony Ericsson W200i;.*SonyEricssonW200.*
Sony Ericsson W300i;.*SonyEricssonW300.*
LG LG-KP260;.*LG\-KP260.*
Sony Ericsson W600i;.*SonyEricssonW600i.*
Sony Ericsson W610i;.*SonyEricssonW610.*
Sony Ericsson W700i;.*SonyEricssonW700.*
Sony Ericsson W710i;.*SonyEricssonW710.*
Sony Ericsson W800i;.*SonyEricssonW800.*
Sony Ericsson W850i;.*SonyEricssonW850i\/R1L.*
Sony Ericsson W888c;.*SonyEricssonW888c\/R1Jx.*
Sony Ericsson W950i;.*SonyEricssonW950i\/R100.*
Sony Ericsson Z1010;.*SonyEricssonZ1010\/R1.*
Sony Ericsson Z300i;.*SonyEricssonZ300.*
Samsung GT-M7500;.*SAMSUNG\-M7500.*
Sony Ericsson Z500a;.*SonyEricssonZ500a.*
Alcatel GLAMPHONE-ELLE;.*Alcatel\-GLAMPHONE\-ELLE.*
Alcatel OT-802A;.*Alcatel\-OT\-802.*
Pantech C510;.*PANTECH\-C510.*
Sony Ericsson Z550i;.*SonyEricssonZ550.*
Sony Ericsson Z558c;.*SonyEricssonZ558.*
Nokia E66-1;.*NokiaE66.*
Sony Ericsson Z608R301;.*SonyEricssonZ608.*
Samsung SGH-T619;.*SAMSUNG\-SGH\-T619.*
Samsung SGH-J800;.*SAMSUNG\-SGH\-J800.*
Sony Ericsson Z800;.*SonyEricssonZ800\/R1X.*
SonyEricsson Z250a;.*SonyEricssonZ250.*
Samsung SGH-L700;.*SAMSUNG\-SGH\-L700.*
Samsung SGH-E570V;.*SamsungSGHE570.*
Motorola WX290;.*MOT-WX290.*
Samsung SGH-X680V;.*SamsungSGHX680.*
Sony Ericsson K700;.*SonyEricssonK700.*
Alcatel OT-880A;.*Alcatel\-OT\-880.*
Sony Ericsson K750i;.*SonyEricssonK750.*
LG LGE/KU580;.*LG\-KU580.*
Sony Ericsson K810i;.*SonyEricssonK810i.*
Sony Ericsson M600i;.*SonyEricssonM600i\/R100.*
Sony Ericsson P800;.*SonyEricssonP800.*
Samsung C5212;.*SAMSUNG\-C5212.*
Samsung SGH-A747;.*SAMSUNG\-SGH\-A747.*
Samsung SGH-A877;.*SAMSUNG\-SGH\-A877.*
Sony Ericsson P908R101;.*SonyEricssonP908.*
Sony Ericsson P910a;.*SonyEricssonP910.*
Samsung SGH-D608;.*SAMSUNG\-SGH\-D608.*
LG LG-GS290;.*LG\-GS290.*
Sony Ericsson S700i;.*SonyEricssonS700.*
Sony Ericsson T226;.*SonyEricssonT226.*
Sony Ericsson T616;.*SonyEricssonT616.*
Sony Ericsson C905a;.*SonyEricssonC905.*
Philips X800;.*PhilipsX800.*
Nokia N85-1;.*NokiaN85.*
LG KP570;.*LG\-KP570.*
Samsung S8300;.*SAMSUNG\-S8300.*
Pantech PG-C300;.*PG\-C300.*
Sony Ericsson V800;.*SonyEricssonV800.*
Sony Ericsson W550i;.*SonyEricssonW550.*
Sony Ericsson W810i;.*SonyEricssonW810.*
Sony Ericsson W830i;.*SonyEricssonW830.*
Sony Ericsson W880i;.*SonyEricssonW880i\/R1Jx.*
Sony Ericsson W900i;.*SonyEricssonW900i.*
Sony Ericsson W958c;.*SonyEricssonW958c\/R100.*
Sony Ericsson Z200;.*SonyEricssonZ200.*
LG KP 265;.*LG-KP265.*
BlackBerry8800;.*BlackBerry8800.*
Nokia N95-3;.*NokiaN95.*
Motorola RAZRV6;.*MOT\-RAZRV6.*
Sony Ericsson K530i;.*SonyEricssonK530i.*
Motorola Z3;.*MOT-Z3.*
Samsung SGH-X497;.*SAMSUNG\-SGH\-X497.*
Sagem my400X/1.0;.*SAGEM\-my400X.*
Sony Ericsson W760;.*SonyEricssonW760.*
HTC Polaris;.*HTC_P3650.*
Motorola MOTORAZRV9;.*MOT\-MOTORAZRV9.*
Sony Ericsson Z310i;.*SonyEricssonZ310.*
LG F9100;.*LG\-F9100.*
Sony Ericsson Z520i;.*SonyEricssonZ520.*
Sony Ericsson Z530i;.*SonyEricssonZ530.*
LG LGE/MG280;.*LG\-MG280.*
Sony Ericsson Z600;.*SonyEricssonZ600.*
Motorola V3r;.*MOT\-Accept\-language\:es\-US.*
Motorola W6;.*MOT\-W6.*
Sony Ericsson Z610i;.*SonyEricssonZ610.*
Sony Ericsson Z710i;.*SonyEricssonZ710.*
Nokia 5140;.*Nokia5140.*
Nokia 6124c;.*Nokia6124.*
Nokia N-Gage;.*NokiaN\-Gage.*
Samsung B2700;.*SAMSUNG\-B2700.*
Samsung SGH-I620V;.*SamsungSGHI620.*
Samsung SGH-X660V;.*SamsungSGHX660.*
Siemens SIE-AP75/6.1.0.7;.*SIE-AP75a.*
Nokia 5700;.*Nokia5700.*
Samsung SGH-A237;.*SAMSUNG\-SGH\-A237.*
Samsung SGH-X496;.*SAMSUNG\-SGH\-X496.*
Samsung SGH-A436;.*SAMSUNG\-SGH\-A436.*
Sony Ericsson Z780i;.*SonyEricssonZ780i.*
SAMSUNG-GT-S8500L;.*SAMSUNG\-GT\-S8500.*
Alcatel OT-C820;.*Alcatel\-OT\-C820.*
Samsung SGH-E590;.*SAMSUNG\-SGH\-E590.*
Nokia N5220XpressMusic;.*Nokia5220XpressMusic.*
Sony Ericsson W705;.*SonyEricssonW705.*
Motorola E8;.*MOT\-E8.*
RIM BlackBerry 8900;.*BlackBerry8900.*
Nokia 5800 XpressMusic;.*Nokia5800.*
Motorola MotoMB501;.*MB501.*
Motorola EM25;.*MOT\-EM25.*
Sony Ericsson C510a;.*SonyEricssonC510.*
Samsung GT-I8510C;.*Samsung/I8510.*
Samsung GT-M7600L;.*SAMSUNG\-GT\-M7600L.*
Nokia N5130c-2;.*Nokia5130.*
LG LG-GT360;.*LG\-GT360.*
Samsung GT-M2310;.*SAMSUNG\-GT\-M2310.*
Sony Ericsson K330a;.*SonyEricssonK330a.*
LG LG-KM900;.*LG\-KM900.*
Sony Ericsson K850i;.*SonyEricssonK850i.*
LG LG-CE500;.*LG\-CE500.*
Motorola MotoA45;.*MOT-A45.*
LG LGE/KU800/V10;.*LG\/KU800.*
Samsung SGH-Z400;.*SAMSUNG\-SGH\-Z400.*
Alcatel OT-C700;.*Alcatel\-OT\-C700.*
Samsung GT-I6230;.*SAMSUNG\-GT\-I6230.*
Nokia 6126;.*Nokia6126.*
Alcatel OT-V670A;.*Alcatel\-OT\-V670.*
W302;.*SonyEricssonW302.*
Alcatel One Touch 556;.*Alcatel\-TH3.*
LG LG-KM385;.*LG\-KM385.*
Samsung S3600;.*SAMSUNG\-S3600.*
Sony Ericsson R300a;.*SonyEricssonR300.*
Samsung GT i8000;.*SAMSUNG-GT-i8000.*
LG LGE/KP215;.*LG\-KP215.*
Motorola MOT-W388;.*MOT\-W388.*
imate Ultimate_8150;.*I\-Mate\ 8150.*
RIM BlackBerry 9000;.*BlackBerry9000.*
LG-GD330;.*LG-GD330.*
LG-GM310;.*LG-GM310.*
Samsung GT-C3510;.*SAMSUNG\-GT\-C3510.*
Sony Ericsson F305;.*SonyEricssonF305.*
Samsung SGH-F210;.*SEC\-SGHF210.*
Samsung SGH-A746;.*SAMSUNG\-SGH\-A746.*
Samsung GT-S5230;.*SAMSUNG-GT-S5230.*
LG LG-GW550;.*LG\-GW550.*
Samsung GT-M2520;.*SAMSUNG-GT-M2520.*
Samsung SGH-F265L;.*SAMSUNG\-SGH\-F265.*
LG LG-MG100a;.*LG\-MG100.*
Nokia N81;.*NokiaN81.*
Nokia E63-2;.*NokiaE63.*
Samsung SGH-T919;.*SAMSUNG\-SGH\-T919.*
Motorola VE66;.*MOT\-VE66.*
Alcatel OT-C717;.*Alcatel\-OT\-C717.*
SonyEricsson Z320a;.*SonyEricssonZ320.*
Nokia N3710fold;.*Nokia3710.*
Samsung GT-i8000;.*SAMSUNG\-GT\-i8000.*
Samsung GT-i5700;.*GT\-I5700.*
Motorola EM30;.*MOT-MOTOROKREM30.*
Samsung SGH-G400L;.*SAMSUNG-SGH-G400L.*
Motorola MOT-W396;.*MOT\-W396.*
Alcatel OT-S626A;.*Alcatel-OT-S626.*
LG KM710;.*LG\-KM710.*
Samsung SGH-T459;.*SAMSUNG\-SGH\-T459.*
Nokia 6210 Navigator;.*Nokia6210.*
RIM BlackBerry 9500;.*BlackBerry9500.*
Sony Ericsson C903a;.*SonyEricssonC903.*
Sony Ericsson W508a;.*SonyEricssonW508.*
Sony Ericsson K770i;.*SonyEricssonK770.*
LG E/KF240;.*LG\-KF240.*
Samsung SGH-F480L;.*SAMSUNG\-SGH\-F480.*
LG LG/KU990i/v1.0;.*LG\/KU990.*
LG KE990d/v1.0;.*LG\/KE990.*
Nokia 6133;.*Nokia6133.*
Samsung C276L;.*SAMSUNG\-SGH\-C276.*
Alcatel OneTouch-I650A;.*Alcatel\-OT\-I650.*
LG LGE/KM500;.*LG\-KM500.*
Samsung SGH-E906;.*SEC\-SGHE906.*
Alcatel OT-708;.*Alcatel-OT-708.*
Sony Ericsson T303;.*SonyEricssonT303.*
LG-GU285;.*LG-GU285.*
LG LGE/GR500;.*LG\-GR500.*
LG LG-ME970c;.*LG\-ME970.*
LG LGE/MG296;.*LG\-MG296.*
Motorola MOT-EM330;.*MOT\-EM28.*
Alcatel OT-508A;.*Alcatel\-OT\-508.*
Nokia 6110;.*Nokia6110Navigator.*
Samsung GT-S3650;.*SAMSUNG\-GT\-S3650.*
Samsung GT-S5600;.*SAMSUNG\-GT\-S5600.*
Motorola MOT-W377;.*MOT\-W377.*
Samsung GT-S5233A;.*SAMSUNG\-GT\-S5233.*
Nokia E90-1;.*NokiaE90.*
Nokia 5730s-1;.*Nokia5730.*
Motorola ZN300;.*MOT\-ZN300.*
LG LG-GB230;.*LG\-GB230.*
LG LG-GU230;.*LG\-GU230.*
ZTE G i766;.*ZTE\-G\ i766.*
Samsung M8800L;.*SAMSUNG-M8800.*
Nokia 1680c-2b;.*Nokia1680.*
LG LG/KC910Qa;.*LG\-KC910.*
Nokia 5230;.*Nokia5230.*
Samsung SGH-T219S;.*SAMSUNG\-SGH\-T219.*
Samsung E2210;.*SAMSUNG-E2210.*
LG GM210;.*LG-GM210.*
RIM BlackBerry 8707;.*BlackBerry8707.*
RIM BlackBerry 9630;.*BlackBerry9630.*
Samsung SGH-E251;.*SAMSUNG\-SGH\-E251.*
Samsung SGH-E215L;.*SGHE215L.*
Nokia N96-3;.*NokiaN96.*
Samsung SGH-i900;.*SAMSUNG\-SGH\-i900.*
Nokia 5320;.*Nokia5320.*
Palm Treo850;.*Palm850.*
Motorola ZN5;.*MOT\-ZN5.*
Nokia N3600slide;.*Nokia3600slide.*
imate Ultimate_6150;.*I\-Mate\ 6150.*
Motorola A3100;.*MOT\-A3100.*
RIM BlackBerry 8520;.*BlackBerry8520.*
Motorola W7;.*MOT\-W7.*
Nokia N86;.*NokiaN86.*
RIM BlackBerry 9800;.*9800.*
LG LG-KM380;.*LG\-KM380.*
HUAWEI U5705;.*HuaweiU5705.*
High Tech Computer Corporation Elf;.*HTC_P3450.*
Samsung B5702C;.*SAMSUNG\-B5702.*
LG-GM600;.*LG-GM600.*
Samsung SGH-D900e;.*SAMSUNG\-D900.*
Samsung SGH-M310;.*SEC\-SGHM310.*
Samsung SGH-U800;.*SAMSUNG\-SGH\-U800.*
LG LG-KG70;.*LG\-KG70.*
HTC Corporation HTC_Touch_HD_T8282;.*HTC_Touch_HD_T8282.*
LG LG-KP502;.*LG\-KP502.*
LG LG-KP265;.*LG\-KP265.*
Samsung SGH-A867;.*SAMSUNG\-SGH\-A867.*
Samsung SGH-C275L;.*SEC\-SGHC275.*
Samsung GT-S5620L;.*SAMSUNG-GT-S5620.*
Samsung SGH-F700;.*SAMSUNG\-SGH\-F700.*
Samsung SGH-J400;.*SAMSUNG\-SGH\-J400.*
Samsung SGH-T209;.*SAMSUNG\-SGH\-T209.*
Samsung SGH-i458B;.*Samsung\/SGH\-i458.*
Samsung SGH-Z230;.*SAMSUNG\-SGH\-Z230.*
SonyEricsson W205a;.*SonyEricssonW205.*
Samsung GT-I9000B;.*GT-I9000.*
LG LG-GD330;.*LG\-GD330.*
Nokia 2720a-2b;.*Nokia2720.*
Nokia NX3-00;.*NokiaX3.*
Motorola Electronics MOT-W418G;.*MOT\-W418G.*
Nokia 3109c;.*Nokia3109.*
Nokia N97 mini;.*N97.*
LG KC550;.*LG\-KC550.*
Motorola MOT-EM28;.*MOT-EM330.*
Motorola EM25;.*MOT\-EM25.*
RIM BlackBerry 9100;.*BlackBerry9100.*
LG LG-GB190;.*LG\-GB190.*
Samsung SGH-Z170;.*SAMSUNG\-SGH\-Z170.*
Samsung SGH-F275L;.*SAMSUNG\-SGH\-F275L.*
Motorola mot-q-gsm;.*Q\-GSM.*
Samsung SGH-X836;.*SEC\-SGHX836.*
RIM BlackBerry 8220;.*BlackBerry8220.*
LG KF755/v1.0;.*LG\/KF755.*
Nokia E71-2;.*NokiaE71.*
Samsung S3500;.*SAMSUNG\-S3500.*
W395;.*SonyEricssonW395.*
Motorola MotoQA1;.*MOT-MOTOQA1.*
HTC Corporation Polaris;".*Mozilla\/4\.0\ \(compatible\;\ MSIE\ 7\.0b\;\ Windows\ NT\ 6\.0\).*"
LG LGE/MG320;.*LG\-MG320.*
Samsung SGH-C417;.*SAMSUNG\-SGH\-C417.*
LG LGE/MG110;.*LG\-MG110.*
Motorola V197;.*MOT\-V197.*
Samsung GT-M3310;.*SAMSUNG\-GT\-M3310.*
Samsung Z510;.*SAMSUNG\-SGH\-Z510.*
Sony Ericsson T290a;.*SonyEricssonT290.*
Sony Ericsson W350a;.*SonyEricssonW350.*
Alcatel OT-V607A;.*Alcatel\-OT\-V607.*
Motorola A1200;.*MOT\-A780.*
LG LGE/KP110;.*LG\-KP110.*
Motorola MOT-W370;.*MOT\-W370.*
Nokia N82-1;.*NokiaN82.*
Samsung GT-E2120L;.*SAMSUNG\-GT\-E2120.*
Samsung SGH-L170;.*SAMSUNG\-SGH\-L170.*
Samsung SGH-M130L;.*SAMSUNG\-SGH\-M130.*
LG LGE/TU720;.*LG\-TU720.*
LG LG/KP330/v1.0;.*LG\/KP330.*
Samsung SGH-E746;.*SAMSUNG\-SGH\-E746.*
Nokia 6234;.*Nokia6234.*
Samsung GT-B3410;.*SAMSUNG\-GT\-B3410.*
Alcatel One Touch S 853;.*Alcatel\-OT\-S853.*
Alcatel OT-303A;.*Alcatel\-OT\-303.*
Alcatel One Touch C550_C560_C630_C635;.*Alcatel-OT-C550.*
LG LG-MG220;.*LG\-MG220.*
LG LG/KU250/v1.0;.*LG\/KU250.*
HUAWEI U7515;.*HuaweiU7515.*
LG LG-GT365;.*LG\-GT365.*
LG LG-KF900;.*LG\-KF900.*
Nokia 5070;.*Nokia5070.*
Samsung SGH-E200;.*SAMSUNG\-SGH\-E200.*
Samsung SGH-J700L;.*SAMSUNG\-SGH\-J700.*
Samsung SGH-J750;.*SAMSUNG\-SGH\-J750.*
