NipoWorld;;;;;
Id;Nombre;Autor;Comprar;Regalar;Descargar
104712;Ese Ultimo Momento;Alejandro Sanz;3;0;0
104705;Cuando Nadie Me Ve;Alejandro Sanz;6;0;0
104700;Amiga Mia;Alejandro Sanz;7;0;0
104703;Corazon Partio;Alejandro Sanz;30;4;0
104707;El Alma Al Aire;Alejandro Sanz;6;0;0
104701;Aquello Que Me Diste;Alejandro Sanz;4;0;0
105402;Looking for paradise;Alejandro Sanz feat. Alicia Keys;277;18;0
105102;Aunque no te pueda ver;Alex Ubago;948;47;0
105103;Me arrepiento;Alex Ubago;1012;37;0
105101;A gritos de esperanza;Alex Ubago;43;1;0
105104;Mil horas;Alex Ubago;2;0;0
105105;Por siempre en mi mente;Alex Ubago;2;0;0
105106;Te amo mas que a un mundo nuevo;Alexander;14;3;0
105107;Crimenes perfectos;Andres Calamaro;1;0;0
105108;Flaca;Andres Calamaro;41;1;0
105109;Loco Calamaro;Andres Calamaro;0;1;0
105110;Its alright;Ashley Tisdale;25;1;0
105111;Caraluna;Bacilos;1;0;0
105113;Tabaco y chanel;Bacilos;2;0;0
105115;Hablame;Beto Cuevas;67;0;0
105116;Vuelvo;Beto Cuevas;4;0;0
105117;Every Rose Has Its Thorn Acoustic;Bret Michaels;2;0;0
105433;Tu no sabes que tanto con Alex Ubago Directo 09;Carlos Baute;1;0;0
105118;Colgando en tus manos;Carlos Baute;1863;102;0
105403;Colgando en tus manos (Remix) feat Marta Sanchez;Carlos Baute;1107;65;0
105125;Perfecta ocasion Remix;Casa de leones;3;0;0
105124;No Te Veo;Casa de leones;6;0;0
105129;La Neta feat Zion;Cruz Martinez presenta Los Super Reyes;1;0;0
105404;Meet Me On The Equinox;Death Cab For Cutie;3;0;0
105434;Corazon de Acero;Diego Dibos;1;0;0
105131;Coro;Espacio Sideral;1;0;0
105132;Right Round Featuring Keha;Flo Rida;42;5;0
105436;Te extrano 2;Francisco Cespedes;2;0;0
105435;Solamente una vez;Francisco Cespedes;2;0;0
105133;New York New York Master Ringback;Frank Sinatra;19;1;0
105137;Know Your Enemys;Green Day;33;3;0
105140;The Simpsons Theme;Green Day;76;7;0
105138;Longview;Green Day;1;0;0
105134;21 Guns;Green Day;196;11;0
105136;Boulevard Of Broken Dream;Green Day;206;6;0
105141;When I Come Around;Green Day;24;0;0
105135;American Idiot;Green Day;13;2;0
105114;Basket Case;Green Day;31;0;0
105139;She;Green Day;10;1;0
104719;One Of The Brightest Stars;James Blunt;1;0;0
104727;Aqui;Jarabe De Palo;2;0;0
105145;Im Yours;Jason Mraz;187;11;0
105143;Lucky;Jason Mraz;4;1;0
105439;Adios 2;Jesse Joy;19;2;0
105440;Chocolate 2;Jesse Joy;2;2;0
105149;Ya no quiero ver tu foto;Jesse Joy;78;5;0
105442;Si te vas 2;Jesse Joy;8;0;0
105147;Llegaste Tu;Jesse Joy;116;4;0
105148;Volvere por siempre;Jesse Joy;4;0;0
105441;Electricidad;Jesse Joy;1;0;0
105150;Alma en libertad;Jorge Villamizar;1;0;0
105443;Valiente;Koko;3;0;0
104729;Delirando;La Ley;1;0;0
104730;Mentira;La Ley;26;0;0
104725;Amate y salvate;La Ley;3;0;0
105152;En cambio no;Laura Pausini;59;2;0
105154;Un hecho obvio;Laura Pausini;2;0;0
104734;Invece no;Laura Pausini;135;5;0
105153;Primavera anticipada it is my song duet with James Blun;Laura Pausini;8;0;0
104735;Black Dog;Led Zeppelin;6;0;0
105158;Shadow Of The Day;Linkin Park;62;1;0
105155;In the end;Linkin Park;440;21;0
105157;New Divide So Give Me Reason;Linkin Park;259;8;0
105156;Leave Out All The Rest;Linkin Park;103;4;0
105164;No se tu pero yo;Luis Miguel;9;1;0
105163;La misma de ayer la incondicional;Luis Miguel;6;1;0
105167;Te desean;Luis Miguel;2;0;0
105446;Sera que no me amas Hex Hector Mix;Luis Miguel;3;0;0
105162;Entregate;Luis Miguel;2;0;0
105159;Amor de hecho;Luis Miguel;1;0;0
105168;Tengo Todo Excepto A Ti;Luis Miguel;2;0;0
105445;Como es posible que a mi lado Hex Hector Mix;Luis Miguel;1;1;0
105166;Suave como me mata tu mirada;Luis Miguel;1;0;0
105451;Celebration It s A Celebration;Madonna;1;0;0
105450;Celebration Haven t I Seen You Somewhere Before;Madonna;13;1;0
105452;Celebration;Madonna;4;0;0
105169;Four minutes;Madonna;1;1;0
105453;Revolver feat Lil Wayne;Madonna;2;0;0
105175;Vivir sin aire En vivo;Mamut;2;0;0
105173;Si no te hubieras ido En vivo 3;Mana;23;0;0
105176;Amante bandido Dueto 2007;Mana;1;0;0
105177;Labios compartidos En vivo;Mana;11;2;0
105174;Si no te hubieras ido En vivo 4;Mana;2;0;0
105170;Clavado en un bar En vivo;Mana;12;1;0
105171;Dejame entrar En vivo;Mana;85;3;0
105172;Si no te hubieras ido En vivo 2;Mana;14;1;0
105454;Me gustas tu;Manu Chao;43;3;0
105455;Haven t Met You Yet;Michael Buble;2;0;0
105185;Si Tu No Vuelves shakira;Miguel Bose;1;0;0
105179;Como Un Lobo;Miguel Bose;1;0;0
105181;Morena mia;Miguel Bose;2;1;0
105456;Mentira 2;Mijares;11;0;0
105488;Vete de aqui;Miranda;4;0;0
105472;Don;Miranda;5;1;0
105473;El Profe;Miranda;2;1;0
105486;Tu juego;Miranda;4;0;0
105470;Bailarina;Miranda;1;0;0
105485;Traicion;Miranda;6;0;0
105477;Mentia;Miranda;8;1;0
105478;Mi Propia Vida;Miranda;2;0;0
105479;Navidad;Miranda;2;0;0
105482;Prisionero;Miranda;6;0;0
105471;Chicas;Miranda;3;0;0
105487;Uno los Dos;Miranda;9;1;0
105189;Desolation Row;My Chemical Romance;9;1;0
105190;Teenager;My Chemical Romance;29;4;0
105464;The Only Exception;Paramore;4;0;0
105196;That What You Get;Paramore;31;1;0
105458;All I Wanted;Paramore;3;0;0
105192;crushcrushcrush;Paramore;19;1;0
105193;Decode;Paramore;163;10;0
105461;Feeling Sorry;Paramore;7;1;0
105465;Where The Lines Overlap;Paramore;5;0;0
105459;Brick By Boring Brick;Paramore;11;1;0
105460;Careful;Paramore;4;2;0
105462;Looking Up;Paramore;3;0;0
105463;Misguided Ghosts;Paramore;5;0;0
105194;I Caught Myself;Paramore;2;0;0
105195;Ignorance;Paramore;89;7;0
105199;Sin mi sin Ti;Ricardo Arjona;5;0;0
105197;Ni Tu Ni Yo Feat Paquita la del Barrio;Ricardo Arjona;2;0;0
105405;Tocando Fondo-;Ricardo Arjona;272;17;0
105203;Yo puedo hacer que tus tristezas;Ricardo Montaner;10;1;0
105200;Besa mi vida;Ricardo Montaner;5;0;0
105201;Es asi es asi;Ricardo Montaner;3;0;0
105202;Tan enamorados;Ricardo Montaner;31;1;0
105206;Si tu no estas aqui;Rosana;268;14;0
105208;For Your Babies;Simply Red;2;0;0
105210;Stars;Simply Red;6;0;0
105211;18 And Life;Skid Row;3;0;0
105212;I remember you;Skid Row;5;1;0
105217;Payaso Featuring Eddie Dee Voltio Ringback;Tego Calderon;1;0;0
105220;About A Girl;The academy;4;1;0
105224;Hello I love you;The Doors;30;2;0
105467;Solo tu feat Raquel del Rosario;Vallin;6;1;0
105466;Fragilidad feat Joy;Vallin;6;1;0
105225;Go jump;Van Halen;67;2;0
104524;Extra;Wazzup;4;0;0
104517;Burning;Wazzup;4;0;0
105228;Vidas paralelas;Ximena Sarinana;1;0;0
Total;;;9097;471;0
